Dataset,Version,Triples,Query,QueryNum,Latency (ms),Latency (s),Soundness (%),Completeness (%),Expected,Received,Upload Size (GB),Upload Latency (ms),Upload Ontology Latency (ms)
lubm-0,v2,8521,query(1),1,269.1,0.2691,,,,4,0.08432161808013916,99281.0,209.0
lubm-0,v2,8521,query(2),2,1072.3,1.0723,,,,0,0.08432161808013916,99281.0,209.0
lubm-0,v2,8521,query(3),3,616.9,0.6169,,,,6,0.08432161808013916,99281.0,209.0
lubm-0,v2,8521,query(4),4,2013.8,2.0138,,,,34,0.08432161808013916,99281.0,209.0
lubm-0,v2,8521,query(5),5,2405.1,2.4051,,,,719,0.08432161808013916,99281.0,209.0
lubm-0,v2,8521,query(6),6,1887.8,1.8878,,,,678,0.08432161808013916,99281.0,209.0
lubm-0,v2,8521,query(7),7,2334.8,2.3348,,,,67,0.08432161808013916,99281.0,209.0
lubm-0,v2,8521,query(8),8,2873.5,2.8735,,,,678,0.08432161808013916,99281.0,209.0
lubm-0,v2,8521,query(9),9,2768.6,2.7685999999999997,,,,13,0.08432161808013916,99281.0,209.0
lubm-0,v2,8521,query(10),10,1889.1,1.8891,,,,4,0.08432161808013916,99281.0,209.0
lubm-0,v2,8521,query(11),11,297.7,0.29769999999999996,,,,10,0.08432161808013916,99281.0,209.0
lubm-0,v2,8521,query(12),12,1345.1,1.3451,,,,1,0.08432161808013916,99281.0,209.0
lubm-0,v2,8521,query(13),13,2248.0,2.248,,,,1,0.08432161808013916,99281.0,209.0
lubm-0,v2,8521,query(14),14,322.1,0.3221,,,,532,0.08432161808013916,99281.0,209.0
lubm-0,v1,8521,query(1),1,445.7,0.4457,,,,4,0.037284232676029205,12303.0,267.0
lubm-0,v1,8521,query(2),2,795.2,0.7952,,,,0,0.037284232676029205,12303.0,267.0
lubm-0,v1,8521,query(3),3,595.1,0.5951000000000001,,,,6,0.037284232676029205,12303.0,267.0
lubm-0,v1,8521,query(4),4,1284.7,1.2847,,,,34,0.037284232676029205,12303.0,267.0
lubm-0,v1,8521,query(5),5,1713.1,1.7130999999999998,,,,719,0.037284232676029205,12303.0,267.0
lubm-0,v1,8521,query(6),6,1270.1,1.2701,,,,678,0.037284232676029205,12303.0,267.0
lubm-0,v1,8521,query(7),7,1283.6,1.2835999999999999,,,,67,0.037284232676029205,12303.0,267.0
lubm-0,v1,8521,query(8),8,1821.9,1.8219,,,,678,0.037284232676029205,12303.0,267.0
lubm-0,v1,8521,query(9),9,1552.7,1.5527,,,,13,0.037284232676029205,12303.0,267.0
lubm-0,v1,8521,query(10),10,1200.5,1.2005,,,,4,0.037284232676029205,12303.0,267.0
lubm-0,v1,8521,query(11),11,277.7,0.2777,,,,10,0.037284232676029205,12303.0,267.0
